episode_id,episode_name,release_date,duration_ms,description,external_url,show_id,show_name,publisher
5BGhBXsaNMWEBuJaTFkKFT,Showkesmas - Takdir Yang Memilih Awwe Jadi Comedy Consultant,2025-01-23,3097429,"Showkesmas 06Heyho Masyarakat, sambil menunggu season 13, saatnya seru seruan dulu nih sama Showkesmas, kali ini barengan Awwe sang dewa komedi yang ah kocak kocak selalu gituuu",https://open.spotify.com/episode/5BGhBXsaNMWEBuJaTFkKFT,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
5Myv9mZdeD33YH99BiOI0A,Showkesmas - Donne Maula : Manchester United Dulu Baru Yura Yunita,2025-01-20,2920960,"Showkesmas 05 Saatnya Showkesmas dulu masyarakat, sambil menunggu season 13...kali ini showkesmas sama Yura Yunita & Donne, siapa fansnya MU? Ngacung guuys ",https://open.spotify.com/episode/5Myv9mZdeD33YH99BiOI0A,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
45M1rdSNpc1U9VBYjO8Pbj,"Showkesmas - Sal Priadi, Calon Member Ke-5 Podkesmas?",2025-01-16,2954325,"Showkesmas 04 Showkesmas lagi yok Masyarakat sambil nungguin season baru, kali ini kita throwback keseruan episode bareng Sal Priadi, dan terciptalah sebuah lantunan lagu yang amat merdu, langsung dengerin dan nonton Masyarakat ",https://open.spotify.com/episode/45M1rdSNpc1U9VBYjO8Pbj,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
0lkY8No6kE3PcEpTJ3vz30,Showkesmas - Kali Ini Kami Dibikin Skakmat Indy Barends,2025-01-13,2880789,"Showkesmas 03 Yes, masih dlam keseruan Showkesmas kali ini bareng Teh Indy Barends yang sungguh membuat jantung Omesh sangat berdetak kencang yah Masyarakat ",https://open.spotify.com/episode/0lkY8No6kE3PcEpTJ3vz30,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
35bJpD63T5p8uvPWU35tMg,Showkesmas - Pandji Pragiwaksono Hampir Lompat Dari Taksi,2025-01-09,3751296,"Showkesmas 02 Masyarakat, sambil nunggu season baru bapak bapak, mari kita dengerin dan nonton showkesmas bersama Pandji Pragiwaksono, karena passion Pandji adalah marah-marah sama kaya...tau dong siapa masyarakat ",https://open.spotify.com/episode/35bJpD63T5p8uvPWU35tMg,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
1vvr8vQMx9cEP7fmBOijKX,"Showkesmas - Yang Ditanya Eca, Yang Jawab Surya Dasar Abang Adek !!",2025-01-06,3143594,"Showkesmas 01  Masyarakat Sehat, sambil nungguin season baru bisa banget pastinya buat kamu untuk nonton dan denger Showkesmas di Spotify, kali ini abang adek yang kocak kocak komedi selalu, sikat masyarakat ",https://open.spotify.com/episode/1vvr8vQMx9cEP7fmBOijKX,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
4CSDBabK9tZvoHWEC4JBg6,"Si EO, Mr Ngantuk, Mr Cranky, & Mr Funky = Ketawa Bengek !!!",2025-01-02,1378680,"S12E32  Masih dalam suasana tahun baru Masyarakat, udah pada masuk kerja atau sekolah atau kuliah kah? sambil nemenin aktivitas saatnya dengerin best highlight bapak-bapak part 2 di 2024 kemarin, Sikaaaad ",https://open.spotify.com/episode/4CSDBabK9tZvoHWEC4JBg6,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
22i7oAxqNTOJFR3ClpuOSd,"2024 Nggok Darto Omesh : Ga Kerasa ya Mau 2025, Surya : KERASA AH",2024-12-30,1237560,"S12E31  Momen apa di tahun ini jadi best highlight kamu Masyarakat? saatnya dengerin best highlight dulu nih, tenang akan ada part selanjutnya Masyarakat",https://open.spotify.com/episode/22i7oAxqNTOJFR3ClpuOSd,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
3wxmxU0P3bxdWPn2na4snE,"Ikan Hiu Lagi Siul, Resolusi Masyarakat Moga Terkabul, Uhuuy ",2024-12-26,1012656,"S12E30  Akhir 2024 Masyarakat, semoga semua doa dan resolusi nya terkabul di 2025, fanke fanke fankeeee uhuuy",https://open.spotify.com/episode/3wxmxU0P3bxdWPn2na4snE,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
3a5rqoe14D26iqFnkpdIZ8,"Skill Pria Dewasa Sesungguhnya, Menyala Wi ",2024-12-23,1307808,"S12E29 Eish siapa yang besok udah mulai libur masyarakat? libur panjang nih Masyarakat, sambil menemani kamu dikantor, rumah, kosan, ah dimanapun lah pokonya, siapa yang paling menguasai skill pria dewasa? langsung kita cekidot deh ",https://open.spotify.com/episode/3a5rqoe14D26iqFnkpdIZ8,1H0iGB2cfkYoTAEKwMcmHr,PODKESMAS,Podkesmas Asia 
